Bin | Expected (Py) | FFT Core (Raw) | SPI Rx (Final) | Status
117 | 00000000 | 00000000 | 018f0163 | ERR
118 | 018ffe3c | 0191fe3d | 00000000 | ERR
119 | 00000000 | 00000000 | 00000000 |  OK
120 | 00000000 | 00000000 | 00000000 |  OK
121 | 00000000 | 00000000 | 01910173 | ERR
122 | 0190fe52 | 018ffe51 | 00000010 | ERR
123 | 00000000 | 00000000 | 00000000 |  OK
124 | 00000000 | 00000000 | 00000000 |  OK
125 | 00000000 | 00000000 | 01900186 | ERR
126 | 0190fe67 | 0190fe66 | 00000000 | ERR
127 | 00000000 | 00000000 | 00000000 |  OK
128 | 00000000 | 00000000 | 00000000 |  OK
129 | 00000000 | 00000000 | 0190019a | ERR
130 | 018ffe7a | 0190fe7a | 00000000 | ERR
131 | 00000000 | 00000000 | 00000000 |  OK
132 | 00000000 | 00000000 | 00000000 |  OK
133 | 00000000 | 00000000 | 018f01af | ERR
134 | 0190fe8d | 0191fe8d | 00000000 | ERR
135 | 00000000 | 00000000 | 00000000 |  OK
136 | 00000000 | 00000000 | 00000000 |  OK
137 | 00000000 | 00000000 | 019101c3 | ERR
138 | 018ffe9f | 018ffe9d | 00000000 | ERR
139 | 00000000 | 00000000 | 00000000 |  OK
140 | 00000000 | 00000000 | 00000000 |  OK
141 | 00000000 | 00000000 | 018e01dd | ERR
142 | 0190feb0 | 0192feb1 | 00000000 | ERR
143 | 00000000 | 00000000 | 00000000 |  OK
144 | 00000000 | 00000000 | 00000000 |  OK
145 | 00000000 | 00000000 | 018f01f1 | ERR
146 | 0190fec0 | 018ffec1 | 00000000 | ERR
147 | 00000000 | 00000000 | 00000000 |  OK
148 | 00000000 | 00000000 | 00000000 |  OK
149 | 00000000 | 00000000 | 0191020f | ERR
150 | 0190fed0 | 0191fecf | 00000000 | ERR
151 | 00000000 | 00000000 | 00000000 |  OK
152 | 00000000 | 00000000 | 00000000 |  OK
153 | 00000000 | 00000000 | 01900229 | ERR
154 | 018ffedf | 0190fedf | 00000000 | ERR
155 | 00000000 | 00000000 | 00000000 |  OK
156 | 00000000 | 00000000 | 00000000 |  OK
157 | 00000000 | 00000000 | 018f0248 | ERR
158 | 018ffeee | 0191feee | 00000000 | ERR
159 | 00000000 | 00000000 | 00000000 |  OK
160 | 00000000 | 00000000 | 00000000 |  OK
161 | 00000000 | 00000000 | 01900267 | ERR
162 | 0190fefc | 0190fefb | 00000000 | ERR
163 | 00000000 | 00000000 | 00000000 |  OK
164 | 00000000 | 00000000 | 00000000 |  OK
165 | 00000000 | 00000000 | 01910289 | ERR
166 | 0190ff0a | 0191ff09 | 00000000 | ERR
167 | 00000000 | 00000000 | 00000000 |  OK
168 | 00000000 | 00000000 | 00000000 |  OK
169 | 00000000 | 00000000 | 019202b1 | ERR
170 | 018fff17 | 0192ff15 | 00000000 | ERR
171 | 00000000 | 00000000 | 00000000 |  OK
172 | 00000000 | 00000000 | 00000000 |  OK
173 | 00000000 | 00000000 | 018d02d7 | ERR
174 | 018fff24 | 0191ff25 | 00000000 | ERR
175 | 00000000 | 00000000 | 00000000 |  OK
176 | 00000000 | 00000000 | 00000000 |  OK
177 | 00000000 | 00000000 | 01920303 | ERR
178 | 0190ff31 | 0190ff2f | 00000000 | ERR
